Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
5/17/2016 4:45 PM,5800 S Greenwood,Caucasian,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
5/17/2016 11:28 PM,5700 Hyde Park Blvd,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/18/2016 8:31 AM,5036 S Blackstone,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 05/19/2016 
No traffic stops for 05/20/2016 
No traffic stops for 05/21/2016 
5/22/2016 9:11 PM,5100 Dorchester,African American,Male,Moving Violation - Other,Driving with rear door left open,N/A,Verbal Warning,No
5/23/2016 10:35 AM,5050 Lake Shore Drive,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/23/2016 12:03 PM,5800 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
5/23/2016 12:28 PM,5400 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/23/2016 5:32 PM,5200 Lake Park,American Indian/Alaskan Native,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 05/24/2016 
No traffic stops for 05/25/2016 
No traffic stops for 05/26/2016 
5/27/2016 10:25 PM,5700 S Hyde Park Blvd,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/28/2016 7:11 AM,5900 Ellis,Hispanic,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/29/2016 9:49 AM,5500 S Greenwood,Hispanic,Female,Traffic Sign/Signal,Failed to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
5/29/2016 4:15 PM,5700 S Harper,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/29/2016 9:11 PM,5800 S University,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
5/29/2016 9:44 PM,5300 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/30/2016 9:08 PM,5700 Woodlawn,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
5/31/2016 9:03 PM,1200 E 59th,African American,Male,Lane Violation,Wrong way on one way street,Two citations issued for driving wrong way on one way street and no insurance,Citation Issued,No
No traffic stops for 06/01/2016 
6/2/2016 8:49 AM,49th and Kimbark,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Citation issued for failure to yield,Citation Issued,No
6/3/2016 11:30 AM,5500 S Cornell,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/3/2016 7:22 PM,5300 Dorchester,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/3/2016 11:18 PM,1755 E 55th,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/4/2016 10:30 PM,6100 Stony Island,Hispanic,Male,Equipment,Improper lighting,N/A,Verbal Warning,No
6/5/2016 9:37 PM,5700 University,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/6/2016 12:21 AM,5400 Kenwood,African American,Female,Lane Violation,Wrong way on one way street,Two citations issued for wrong way on one way street and suspended license,Citation Issued,No
6/6/2016 4:48 PM,5700 S University,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/6/2016 7:45 PM,Midway Plaisance and Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
6/7/2016 10:21 AM,4926 S CORNELL,Asian,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
6/7/2016 10:42 AM,4936 S BLACKSTONE,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
6/7/2016 7:03 PM,5700 S COTTAGE GROVE,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
There are no traffic stops for 6/8/2016 ,,,,,,,,
6/9/2016 9:54 PM,5326 Hyde Park Blvd,African American,Male,Lane Violation,Illegal U-Turn,N/A,Verbal Warning,No
6/10/2016 12:04 AM,5600 Hyde Park Blvd,African American,Male,Equipment,Driving without headlights with heavy pedestrian traffic,N/A,Verbal Warning,No
6/10/2016 11:47 AM,1465 E 51st,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and no insurance,Citation issued,No
6/10/2016 12:56 PM,5500 S Kimbark,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 06/11/2016 
6/12/2016 2:18 PM,1619 E 54th,African American,Male,Moving Violation - Other,Obstructing traffic,Two citations issued for obstructing traffic and suspended license,Citation issued; arrested on warrant,Yes
6/12/2016 3:05 PM,5500 S Greenwood,Caucasian,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/12/2016 10:31 PM,Midway and Kimbark,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 06/13/2016 
6/14/2016 10:57 PM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and expired driver's license,Citation issued,No
6/15/2016 11:09 AM,1520 S 57th,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/15/2016 4:33 PM,5700 S Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation issued,No
6/15/2016 6:27 PM,1200 Midway Plaisance,African American,Male,Speed,Driving too fast for conditions,N/A,Verbal Warning,No
No traffic stops for 06/16/2016 
No traffic stops for 06/17/2016 
6/18/2016 10:14 AM,5200 S Dorchester,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
6/19/2016 12:15 PM,5300 S Berkeley,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/19/2016 12:39 PM,5300 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/20/2016 11:41 AM,5300 S Blackstone,African American,Male,Traffic Sign/Signal,Almost struck pedestrian in crosswalk,N/A,Verbal Warning,No
No traffic stops for 06/21/2016 
No traffic stops for 06/22/2016 
6/23/2016 6:42 PM,5700 Drexel,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/24/2016 9:29 AM,1322 E 57th Street,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
6/24/2016 10:35 AM,5500 S EVERETT,African American,Male,Moving Violation - Other,Subject  turned the corner driving erratically ,N/A,Verbal Warning,No
6/25/2016 12:37 PM,5726 S KENWOOD,African American,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
6/25/2016 2:29 PM,5300 S HARPER,African American,Male,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
6/25/2016 4:08 PM,6100 S KIMBARK,African American,Male,Lane Violation,Improper lane usage,Two citations issued,Citation issued,No
6/25/2016 6:04 PM,5500 S KIMBARK,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/26/2016 4:59 PM,6229 S KIMBARK,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/26/2016 5:41 PM,5500 S DORCHESTER,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
6/27/2016 8:09 PM,5300 Harper,African American,Male,Lane Violation,Illegal U-Turn with pedestrians in crosswalk,N/A,Verbal Warning,No
6/28/2016 10:02 PM,5000 S Blackstone,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/30/2016 12:45 AM,5900 S Woodlawn,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
6/30/2016 2:56 PM,5600 S Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
7/1/2016 12:05 AM,5400 S Hyde Park,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/1/2016 12:48 PM,1450 E 55th,African American,Male,Moving Violation - Other,Improper use of electronic communication device,N/A,Verbal Warning,No
No traffic stops for 07/02/2016 
7/3/2016 9:18 AM,6300 S Greenwood,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/4/2016 11:25 AM,6200 S Woodlawn,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/5/2016 6:57 AM,5730 S Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/5/2016 3:04 PM,5600 S Ellis,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/5/2016 8:12 PM,1010 E 59th,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 07/06/2016 
No traffic stops for 07/07/2016 
7/8/2016 2:48 PM,6100 S Woodlawn,African American,Male,Lane Violation,Illegal passing,One citation issued for disobeying traffic control device,Citation Issued,No
7/8/2019 10:40 AM,55th and Ellis,African American,Female,Follow Too Close,Following too closely,N/A,Verbal Warning,No
7/9/2016 11:09 PM,5700 S Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
7/10/2016 11:07 AM,1446 E 55th ,African American,Male,Lane Violation,Right turn in front of CTA bus,N/A,Verbal Warning,No
No traffic stops for 07/11/2016 
7/12/2016 6:05 PM,4900 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 07/13/2016 
7/14/2016 10:35 AM,5400 S Woodlawn,Caucasian,Female,Traffic Sign/Signal,Ran red light,One citation issued for expired registration,Citation Issued,No
7/14/2016 11:20 PM,5600 S Stony Island,African American,Male,Follow Too Close,Following too closely,N/A,Verbal Warning,No
No traffic stops for 07/15/2016 
7/16/2016 8:26 PM,4900 S Blackstone,African American,Male,Lane Violation,Wrong way on one way street,Arrested by CPD for DUI and fleeing scene of accident,Arrested by CPD,No
7/17/2016 11:36 AM,5500 S Lake Park,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
7/18/2016 1:56 AM,5800 Ellis,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 07/18/2016 
7/19/2016 7:50 PM,6050 S Woodlawn,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/20/2016 11:13 AM,5140 S Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation Issued,No
7/20/2016 8:32 PM,6300 University,African American,Male,Lane Violation,Illegal passing,N/A,Verbal Warning,No
7/20/2016 11:34 PM,6210 Kimbark,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 07/21/2016 
No traffic stops for 07/22/2016 
7/23/2016 6:03 PM,5500 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and suspended license,Citation issued,No
7/24/2016 7:27 AM,5600 S Woodlawn,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
7/24/2016 1:07 PM,5900 S Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
No traffic stops for 07/25/2016 
7/26/2016 7:43 AM,5300 S Woodlawn,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
7/26/2016 12:14 PM,5500 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying stop sign and suspended license,Citation issued,No
No traffic stops for 07/27/2016 
No traffic stops for 07/28/2016 
No traffic stops for 07/29/2016 
7/30/2016 12:31 PM,5305 S Blackstone,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
7/30/2016 5:14 PM,5300 S Lake Park,African American,Female,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic signal and no insurance,Citation issued,No
No traffic stops for 07/31/2016 
8/1/2016 4:41 PM,5339 S Kimbark,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
8/2/2016 10:15,6300 S KIMBARK,African American,Female,Lane Violation,Improper lane usage,N/A,Verbal Warning,No
8/3/2016 11:12AM,5500 S WOODLAWN,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
8/4/2016 9:18 AM,5600 S Woodlawn,African American,Male,Lane Violation,Failure to signal,N/A,Verbal Warning,No
8/5/2016 12:44 AM,5600 Lake Park,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 08/05/2016 
8/6/2016 9:38 AM,5700 S Cottage Grove,African American,Male,Lane Violation,Driving in opposite lane of traffic,N/A,Verbal Warning,No
8/7/2016 2:44 AM,5400 S Blackstone,African American,Male,Equipment,Vehicle had obvious mechanical issues (unsafe vehicle),N/A,Verbal Warning,No
8/7/2016 3:17 PM,6300 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/8/2016 4:32 PM,5900 S Kenwood,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
8/8/2016 6:05 PM,6100 Kimbark,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
8/8/2016 8:10 PM,5600 Stony Island,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/8/2016 11:15 PM,6200 Kimbark,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/9/2016 1:56 PM,5100 S Dorchester,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
8/9/2016 2:19 PM,4800 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/10/2016 10:13 AM,5700 S Woodlawn,Asian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
8/10/2016 1:14 PM,6300 S Stony Island,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
8/10/2016 5:37 PM,4800 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/11/2016 11:11 AM,5400 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/11/2016 12:26 PM,6100 Cottage Grove,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/11/2016 3:34 PM,5500 S Ellis,Caucasian,Female,Lane Violation,Improper Turn,N/A,Verbal Warning,No
No traffic stops for 08/12/2016 
No traffic stops for 08/13/2016 
8/14/2016 9:27 PM,6300 Kimbark,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
8/15/2016 8:18 AM,5300 S Woodlawn,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
8/15/2016 9:00 AM,5430 S Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/16/2016 2:23 PM,1603 E 55th,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,Two citations issued,Citation Issued,No
8/16/2016 7:18 PM,6200 S GREENWOOD,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
8/17/2016 11:23 PM,5300  S HARPER,African American,Male,Lane Violation,Improper passing/overtaking,Two citations issued,Citation Issued,No
No traffic stops for 08/18/2016 
8/19/2016 1:05 PM,5500 S Cottage Grove,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
8/19/2016 8:15 PM,1400 E 57th,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/19/2016 9:39 PM,5200 S Drexel,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/20/2016 8:10 AM,5500 S Kenwood,Hispanic,Female,Lane Violation,Illegal right turn,N/A,Verbal Warning,No
8/21/2016 11:30 AM,6225 S Kenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/21/2016 3:10 PM,5500 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/21/2016 10:51 PM,6300 S Ellis,African American,Male,License Plate/Registration,Improper display of registration plate,N/A,Verbal Warning,No
No traffic stops for 08/22/2016 
8/24/2016 1:29 AM,5300 Lake Park,African American,Male,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and no valid driver's license,Arrested on warrant,No
8/24/2016 5:30 PM,5489 Cornell Ave,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/24/2016 5:41 PM,5489 Cornell Ave,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/25/2016 9:50 AM,5741 S Kenwood,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
8/25/2016 12:08 PM,6000 Stony Island,African American,Female,Lane Violation,Improper passing,N/A,Verbal Warning,No
8/25/2016 6:38 PM,5500 S Kenwood,Asian,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/26/2016 1:07 PM,5400 S Ellis,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 08/27/2016 
8/28/2016 12:47 AM,1355 E 53rd,Caucasian,Male,Traffic Sign/Signal,Ran two stop signs,N/A,Verbal Warning,No
No traffic stops for 08/29/2016 
8/30/2016 11:56 AM,6345 S MARYLAND,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
8/30/2016 6:18 PM,5600 S ELLIS,Caucasian,Male,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
8/30/2016 9;21 PM,5200 S BLACKSTONE,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
8/30/2016 11;56 PM,5300 S DORCHESTER,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
8/31/2016 3:40 PM,5600 S ELLIS,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
No traffic stops for 09/01/2016 
9/2/2016 4:54 PM,5759 S Kimbark,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
9/2/2016 11:38 PM,5700 S Blackstone,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
9/3/2016 12:02 PM,5600 S Ellis,Hispanic,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
9/3/2016 1:53 PM,5555 S Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
9/4/2016 2:56 PM,4900 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
9/4/2016 9:50 PM,5300 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
9/5/2016 1:38 AM,5500 S Woodlawn,Hispanic,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 09/06/2016 
9/7/2016 4:40 PM,5530 S Ellis,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,One citation issued for disobeying traffic control device,Citation issued,No
9/8/2016 8:40 AM,5500 S Greenwood,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
9/8/2016 4:06 PM,1301 E 57th ,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
9/8/2016 4:17 PM,5500 S Kimbark,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 09/09/2016 
9/10/2016 10:53 AM,1100 E Midway Plaisance,African American,Male,Speed,Speeding,Two citations issued for speeding and suspended DL,Citation issued,No
No traffic stops for 09/11/2016 
9/12/2016 12:35 PM,1406 E 53rd,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
9/13/2016 2:43 AM,5600 S Ellis,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and no valid driver's license,Citation issued,No
No traffic stops for 09/13/2016 
No traffic stops for 09/14/2016 
No traffic stops for 09/15/2016 
9/16/2016 9:00 AM,850 E Midway Plaisance,African American,Male,Traffic Sign/Signal,Failed to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
9/16/2016 4:46 PM,5700 S Kimbark,Caucasian,Male,Seatbelt,R/O observed small child hanging out of rear window,N/A,Verbal Warning,No
9/16/2016 4:51 PM,5700 S Kenwood,Caucasian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 09/17/2016 
No traffic stops for 09/18/2016 
9/19/2016 4:28 PM,945 E 52nd ,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
9/19/2016 5:02 PM,5500 S Woodlawn,Asian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
9/19/2016 6:34 PM,6000 Dorchester,African American,Female,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and suspended license,Citation Issued,No
No traffic stops for 09/20/2016 
9/21/2016 2:05 PM,5430 S Lake Park,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
9/21/2016 4:49 PM,5700 S University,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
9/21/2016 9:48 PM,5500 S Cottage Grove,African American,Male,Lane Violation,Improper passing,N/A,Verbal Warning,No
9/22/2016 8:15 AM,1155 E Midway Plaisance,African American,Male,Speed,Speeding,N/A,Verbal Warning,No
9/22/2016 8:31 AM,1200 E Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
9/22/2016 8:55 AM,1200 E Midway Plaisance,African American,Male,Speed,Speeding,N/A,Verbal Warning,No
9/22/2016 1:54 PM,5700 S Blackstone,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 09/23/2016 
No traffic stops for 09/24/2016 
9/25/16 7:23 AM,6300 S Kimbark,African American,Male,Lane Violation,Wrong way on one way road,Two citations issued for wrong way on one way street and no insurance,Citation Issued,No
9/25/16 5:18 PM,5240 S Kenwood,Caucasian,Male,Lane Violation,Improper U-Turn,N/A,Verbal Warning,No
9/25/16 7:57 PM,1463 E 55th,Asian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
9/26/2016 8:52 AM,1155 E Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
9/26/2016 9:04 AM,Woodlawn and Midway Plaisance,Caucasian,Male,Speed,Speeding,N/A,Verbal Warning,No
9/26/2016 9:22 AM,6000 S Woodlawn,Hispanic,Female,Speed,Speeding,N/A,Verbal Warning,No
9/27/2016 8:51 AM,1255 E Midway Plaisance,African American,Female,Speed,Speeding,Two citations issued for speeding and suspended DL,Citation Issued,No
9/27/2016 11:36 AM,6300 S Drexel,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
9/27/2016 5:06 PM,5500 S Ellis,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
9/27/2016 7:47 PM,6200 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and revoked driver's license,Verbal Warning,No
9/28/2016 4:51 PM,5400 Woodlawn,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
No traffic stops for 09/29/2016 
9/30/2016 10:39 AM,1318 S 51st,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
10/1/2016 9:41 PM,5400 S Hyde Park,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
10/2/2016 9:01 AM,6026 S Dorchester,Asian,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
10/2/2016 6:05 PM,1359 E 52nd,American Indian/Alaskan Native,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
10/2/2016 7:40 PM,E/B Midway Plaisance & Woodlawn,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
10/3/2016 9:00 AM,930 E Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
10/3/2016 9:45 AM,930 E Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
10/3/2016 1:20 PM,832 E Midway,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
10/5/2016 12:17 AM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued for disobeying traffic control device and suspended license,Citation issued,No
No traffic stops for 10/05/2016 
10/6/2015 8:10 PM,6000 S Drexel,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
No traffic stops for 10/07/2016 
10/8/2016 10:24 PM,5500 Dorchester,Hispanic,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
10/9/2016 8:10 PM,6300 Stony Island,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
10/10/2016 8:28 AM,5500 S University,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
10/10/2016 10:15 PM,Midway Plaisance and Cottage Grove,African American,Male,Equipment,Equipment malfunction (alarm),N/A,Verbal Warning,No
No traffic stops for 10/11/2016 
10/13/2016 2:34 PM,900 E Midway,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
10/14/2016 11:38 AM,855 E 58th,Caucasian,Female,Lane Violation,Illegal turn in front of CTA bus,N/A,Verbal Warning,No
10/15/2016 1:13 AM,5100 S East End,Caucasian,Male,Lane Violation,Failure to signal,N/A,Verbal Warning,No
10/15/2016 9:34 AM,5800 S Woodlawn,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,N/A,Verbal Warning,No
10/15/2016 12:31 PM,6000 S Woodlawn,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
10/16/2016 12:04 PM,5100 S Kenwood,African American,Male,Lane Violation,Failure to signal,N/A,Verbal Warning,No
10/16/2016 4:27 PM,5900 S Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic control device and suspended license,Citation Issued,No
10/17/2016 9:44 PM,5000 Drexel,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
